1813004101	吕雪阳	男	19	 99.0	 99.0	 99.0	297.0	 99.0
1813004102	李嘉敏	女	18	 97.0	 99.0	 99.0	295.0	 98.3
1813004103	王鑫	男	18	 96.0	 96.0	 99.0	291.0	 97.0
1813004104	张雨欣	女	17	 95.0	 99.0	 99.0	293.0	 97.6
1813004105	董洪欣	男	18	 94.0	 99.0	 99.0	292.0	 97.3
1813004106	弓明霞	女	18	 93.0	 99.0	 99.0	291.0	 97.0
1813004107	小张	女	20	 99.0	 99.0	 99.0	297.0	 99.0
1813004108	郭富城	男	21	 68.0	 99.0	 99.0	266.0	 88.6
1813004109	刘恋	女	15	 78.0	 99.0	 99.0	276.0	 92.0
1813004113	王者	女	19	 99.0	 99.0	 99.0	297.0	 99.0
1813004114	孙立波	男	17	 68.0	 96.0	 99.0	263.0	 87.7
